threshold,accuracy,precision,sensitivity,specificity,f1_score,tn,fp,fn,tp
0.01,0.8543833580980683,0.8518843120070114,0.972972972972973,0.5129682997118156,0.908411214953271,178,169,27,972
0.02,0.861812778603269,0.8639212175470009,0.965965965965966,0.5619596541786743,0.9120982986767486,195,152,34,965
0.03,0.8692421991084696,0.8751139471285324,0.960960960960961,0.6051873198847262,0.916030534351145,210,137,39,960
0.04,0.8736998514115899,0.8827331486611265,0.9569569569569569,0.6340057636887608,0.9183477425552353,220,127,43,956
0.05,0.87518573551263,0.8872320596458527,0.9529529529529529,0.6512968299711815,0.918918918918919,226,121,47,952
0.06,0.87518573551263,0.8901408450704226,0.948948948948949,0.6628242074927954,0.9186046511627907,230,117,51,948
0.07,0.8789004457652303,0.8958333333333334,0.9469469469469469,0.6829971181556196,0.9206812652068127,237,110,53,946
0.08,0.8774145616641902,0.8971428571428571,0.9429429429429429,0.6887608069164265,0.9194729136163983,239,108,57,942
0.09,0.8789004457652303,0.9011516314779271,0.93993993993994,0.7031700288184438,0.9201371876531113,244,103,60,939
0.1,0.8766716196136701,0.9016393442622951,0.9359359359359359,0.7060518731988472,0.918467583497053,245,102,64,935
0.11,0.87518573551263,0.9014492753623189,0.933933933933934,0.7060518731988472,0.9174041297935103,245,102,66,933
0.12,0.8736998514115899,0.904390243902439,0.9279279279279279,0.7175792507204611,0.91600790513834,249,98,72,927
0.13,0.8729569093610698,0.906679764243615,0.923923923923924,0.7262247838616714,0.9152206246901339,252,95,76,923
0.14,0.8722139673105498,0.9073891625615763,0.9219219219219219,0.729106628242075,0.9145978152929494,253,94,78,921
0.15,0.8684992570579495,0.906930693069307,0.9169169169169169,0.729106628242075,0.9118964659034345,253,94,83,916
0.16,0.8684992570579495,0.9085487077534792,0.914914914914915,0.7348703170028819,0.9117206982543641,255,92,85,914
0.17,0.8684992570579495,0.9101796407185628,0.9129129129129129,0.7406340057636888,0.9115442278860569,257,90,87,912
0.18,0.8692421991084696,0.9119119119119119,0.9119119119119119,0.7463976945244957,0.9119119119119119,259,88,88,911
0.19,0.8670133729569094,0.9116465863453815,0.908908908908909,0.7463976945244957,0.9102756892230577,259,88,91,908
