threshold,accuracy,precision,sensitivity,specificity,f1_score,tn,fp,fn,tp
0.01,0.8187221396731055,0.8112118713932399,0.984984984984985,0.3400576368876081,0.8896925858951176,118,229,15,984
0.02,0.8291233283803864,0.8244725738396624,0.977977977977978,0.40057636887608067,0.8946886446886447,139,208,22,977
0.03,0.826151560178306,0.8288907996560619,0.964964964964965,0.4265129682997118,0.8917668825161887,148,199,35,964
0.04,0.8276374442793462,0.8343504795117699,0.9579579579579579,0.45244956772334294,0.8918918918918919,157,190,42,957
0.05,0.8268945022288261,0.8371478873239436,0.9519519519519519,0.4668587896253602,0.8908665105386416,162,185,48,951
0.06,0.8313521545319466,0.8464991023339318,0.943943943943944,0.5072046109510087,0.8925698059630857,176,171,56,943
0.07,0.8276374442793462,0.8508691674290942,0.9309309309309309,0.5302593659942363,0.8891013384321224,184,163,69,930
0.08,0.8231797919762258,0.8546132339235788,0.9179179179179179,0.5504322766570605,0.8851351351351351,191,156,82,917
0.09,0.8239227340267459,0.8594339622641509,0.9119119119119119,0.5706051873198847,0.8848955803788247,198,149,88,911
0.1,0.8209509658246656,0.8623326959847036,0.9029029029029029,0.5850144092219021,0.8821515892420538,203,144,97,902
0.11,0.8194650817236255,0.8662790697674418,0.8948948948948949,0.6023054755043228,0.880354505169867,209,138,105,894
0.12,0.8179791976225854,0.8688845401174168,0.8888888888888888,0.6138328530259366,0.8787728847105394,213,134,111,888
0.13,0.8187221396731055,0.8733926805143423,0.8838838838838838,0.6311239193083573,0.8786069651741294,219,128,116,883
0.14,0.8157503714710252,0.8743768693918246,0.8778778778778779,0.6368876080691642,0.8761238761238761,221,126,122,877
0.15,0.8150074294205052,0.8765060240963856,0.8738738738738738,0.6455331412103746,0.8751879699248121,224,123,126,873
0.16,0.8112927191679049,0.8766430738119313,0.8678678678678678,0.6484149855907781,0.8722334004024145,225,122,132,867
0.17,0.8112927191679049,0.8789420142421159,0.8648648648648649,0.6570605187319885,0.8718466195761857,228,119,135,864
0.18,0.8098068350668648,0.881808838643371,0.8588588588588588,0.6685878962536023,0.8701825557809331,232,115,141,858
0.19,0.8060921248142645,0.8819875776397516,0.8528528528528528,0.6714697406340058,0.867175572519084,233,114,147,852
0.2,0.8023774145616642,0.8837696335078534,0.8448448448448449,0.6801152737752162,0.8638689866939611,236,111,155,844
0.21,0.8001485884101041,0.8834033613445378,0.8418418418418419,0.6801152737752162,0.8621219887237315,236,111,158,841
0.22,0.7964338781575037,0.8844114528101803,0.8348348348348348,0.6858789625360231,0.858908341915551,238,109,165,834
0.23,0.7979197622585439,0.8887700534759359,0.8318318318318318,0.7002881844380403,0.859358841778697,243,104,168,831
0.24,0.7964338781575037,0.8893662728249194,0.8288288288288288,0.7031700288184438,0.8580310880829015,244,103,171,828
0.25,0.7927191679049034,0.8896103896103896,0.8228228228228228,0.7060518731988472,0.8549141965678627,245,102,177,822
0.26,0.788261515601783,0.8888888888888888,0.8168168168168168,0.7060518731988472,0.8513302034428795,245,102,183,816
0.27,0.787518573551263,0.8913282107574094,0.8128128128128128,0.7146974063400576,0.8502617801047121,248,99,187,812
0.28,0.788261515601783,0.8975501113585747,0.8068068068068068,0.7348703170028819,0.8497627833421192,255,92,193,806
0.29,0.7852897473997028,0.8970917225950783,0.8028028028028028,0.7348703170028819,0.8473322768092975,255,92,197,802
0.3,0.7838038632986627,0.8986486486486487,0.7987987987987988,0.7406340057636888,0.8457869634340223,257,90,201,798
0.31,0.7800891530460624,0.9017142857142857,0.7897897897897898,0.7521613832853026,0.8420490928495198,261,86,210,789
0.32,0.7800891530460624,0.904487917146145,0.7867867867867868,0.760806916426513,0.841541755888651,264,83,213,786
0.33,0.774145616641902,0.9045401629802096,0.7777777777777778,0.7636887608069164,0.8363832077502691,265,82,222,777
0.34,0.7719167904903418,0.905152224824356,0.7737737737737738,0.7665706051873199,0.8343227199136536,266,81,226,773
0.35000000000000003,0.7674591381872214,0.9054373522458629,0.7667667667667668,0.7694524495677233,0.8303523035230352,267,80,233,766
0.36,0.7674591381872214,0.9083333333333333,0.7637637637637638,0.7780979827089337,0.8297988036976618,270,77,236,763
0.37,0.7667161961367014,0.9091995221027479,0.7617617617617618,0.7809798270893372,0.8289760348583878,271,76,238,761
0.38,0.763001485884101,0.9106280193236715,0.7547547547547547,0.7867435158501441,0.8253968253968254,273,74,245,754
0.39,0.763001485884101,0.912621359223301,0.7527527527527528,0.792507204610951,0.8250137136588042,275,72,247,752
0.4,0.7622585438335809,0.9155446756425949,0.7487487487487487,0.8011527377521613,0.8237885462555066,278,69,251,748
0.41000000000000003,0.7563150074294205,0.9157372986369269,0.7397397397397397,0.8040345821325648,0.8183831672203765,279,68,260,739
0.42,0.7540861812778603,0.9175,0.7347347347347347,0.8097982708933718,0.8160088938299055,281,66,265,734
0.43,0.7518573551263001,0.9182389937106918,0.7307307307307307,0.8126801152737753,0.8138238573021181,282,65,269,730
0.44,0.7488855869242199,0.9188846641318125,0.7257257257257257,0.8155619596541787,0.8109619686800895,283,64,274,725
0.45,0.7466567607726597,0.9217948717948717,0.7197197197197197,0.8242074927953891,0.80831928049466,286,61,280,719
0.46,0.7444279346210996,0.9225806451612903,0.7157157157157157,0.8270893371757925,0.8060879368658399,287,60,284,715
0.47000000000000003,0.7399702823179792,0.9219765929778934,0.7097097097097097,0.8270893371757925,0.8020361990950227,287,60,290,709
0.48,0.7414561664190193,0.9254901960784314,0.7087087087087087,0.8357348703170029,0.8027210884353742,290,57,291,708
0.49,0.7384843982169391,0.9262187088274044,0.7037037037037037,0.8386167146974063,0.7997724687144482,291,56,296,703
0.5,0.7399702823179792,0.9298013245033112,0.7027027027027027,0.8472622478386167,0.8004561003420753,294,53,297,702
0.51,0.7384843982169391,0.9330655957161981,0.6976976976976977,0.8559077809798271,0.7983963344788088,297,50,302,697
0.52,0.7377414561664191,0.9353099730458221,0.6946946946946947,0.861671469740634,0.7972429638139,299,48,305,694
0.53,0.7384843982169391,0.9365721997300944,0.6946946946946947,0.8645533141210374,0.7977011494252874,300,47,305,694
0.54,0.7347696879643388,0.936141304347826,0.6896896896896897,0.8645533141210374,0.7942363112391931,300,47,310,689
0.55,0.7317979197622585,0.936986301369863,0.6846846846846847,0.8674351585014409,0.7912087912087912,301,46,315,684
0.56,0.7288261515601783,0.9378453038674033,0.6796796796796797,0.8703170028818443,0.788160185722577,302,45,320,679
0.5700000000000001,0.725854383358098,0.9387186629526463,0.6746746746746747,0.8731988472622478,0.7850902737332557,303,44,325,674
0.58,0.7191679049034175,0.9391796322489392,0.6646646646646647,0.8760806916426513,0.7784290738569754,304,43,335,664
0.59,0.7169390787518574,0.9401709401709402,0.6606606606606606,0.8789625360230547,0.7760141093474426,305,42,339,660
0.6,0.7132243684992571,0.9410071942446043,0.6546546546546547,0.8818443804034583,0.7721369539551358,306,41,345,654
0.61,0.7109955423476969,0.9420289855072463,0.6506506506506506,0.8847262247838616,0.7696862048549438,307,40,349,650
0.62,0.7095096582466568,0.9457478005865103,0.6456456456456456,0.8933717579250721,0.7674003569303985,310,37,354,645
0.63,0.7072808320950966,0.9455081001472754,0.6426426426426426,0.8933717579250721,0.7651966626936829,310,37,357,642
0.64,0.7087667161961367,0.9496296296296296,0.6416416416416416,0.9020172910662824,0.7658303464755077,313,34,358,641
0.65,0.7065378900445766,0.9520958083832335,0.6366366366366366,0.9077809798270894,0.7630473905218956,315,32,363,636
0.66,0.7035661218424963,0.9531722054380665,0.6316316316316316,0.9106628242074928,0.7597832630945214,316,31,368,631
0.67,0.700594353640416,0.9556574923547401,0.6256256256256256,0.9164265129682997,0.7562008469449486,318,29,374,625
0.68,0.6991084695393759,0.9569230769230769,0.6226226226226226,0.9193083573487032,0.7543966040024257,319,28,377,622
0.6900000000000001,0.6976225854383358,0.958204334365325,0.6196196196196196,0.9221902017291066,0.7525835866261398,320,27,380,619
0.7000000000000001,0.6961367013372957,0.9609375,0.6156156156156156,0.9279538904899135,0.75045759609518,322,25,384,615
0.71,0.6939078751857355,0.9636650868878357,0.6106106106106106,0.9337175792507204,0.7475490196078431,324,23,389,610
0.72,0.6916790490341753,0.9634920634920635,0.6076076076076076,0.9337175792507204,0.7452424800491099,324,23,392,607
0.73,0.6857355126300149,0.9660194174757282,0.5975975975975976,0.9394812680115274,0.738404452690167,326,21,402,597
0.74,0.6835066864784547,0.967373572593801,0.5935935935935935,0.9423631123919308,0.7357320099255583,327,20,406,593
0.75,0.6797919762258544,0.9671052631578947,0.5885885885885885,0.9423631123919308,0.731798382078407,327,20,411,588
0.76,0.673848439821694,0.9697986577181208,0.5785785785785785,0.9481268011527377,0.7247648902821316,329,18,421,578
0.77,0.6686478454680534,0.969439728353141,0.5715715715715716,0.9481268011527377,0.7191435768261965,329,18,428,571
0.78,0.6686478454680534,0.9759036144578314,0.5675675675675675,0.9596541786743515,0.7177215189873418,333,14,432,567
0.79,0.6671619613670133,0.9774696707105719,0.5645645645645646,0.962536023054755,0.7157360406091371,334,13,435,564
0.8,0.6641901931649331,0.9773123909249564,0.5605605605605606,0.962536023054755,0.712468193384224,334,13,439,560
0.81,0.6612184249628529,0.9771528998242531,0.5565565565565566,0.962536023054755,0.7091836734693877,334,13,443,556
0.8200000000000001,0.6589895988112927,0.9770318021201413,0.5535535535535535,0.962536023054755,0.7067092651757189,334,13,446,553
0.8300000000000001,0.6545319465081724,0.9767857142857143,0.5475475475475475,0.962536023054755,0.7017318794098781,334,13,452,547
0.84,0.6433878157503715,0.9761467889908257,0.5325325325325325,0.962536023054755,0.689119170984456,334,13,467,532
0.85,0.6441307578008916,0.9797047970479705,0.5315315315315315,0.968299711815562,0.6891628812459442,336,11,468,531
0.86,0.6404160475482912,0.9795158286778398,0.5265265265265265,0.968299711815562,0.6848958333333334,336,11,473,526
