threshold,accuracy,precision,sensitivity,specificity,f1_score,tn,fp,fn,tp
0.01,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.02,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.03,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.04,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.05,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.06,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.07,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.08,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.09,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.1,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.11,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.12,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.13,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.14,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.15,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.16,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.17,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.18,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.19,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.2,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.21,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.22,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.23,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.24,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.25,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.26,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.27,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.28,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.29,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.3,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.31,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.32,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.33,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.34,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.35000000000000003,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.36,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.37,0.7421991084695394,0.7421991084695394,1.0,0.0,0.8520255863539445,0,347,0,999
0.38,0.7429420505200595,0.7427509293680298,1.0,0.002881844380403458,0.8523890784982935,1,346,0,999
0.39,0.7429420505200595,0.7434750186428039,0.997997997997998,0.008645533141210375,0.8521367521367521,3,344,2,997
0.4,0.7436849925705795,0.7443946188340808,0.996996996996997,0.01440922190201729,0.8523748395378691,5,342,3,996
0.41000000000000003,0.7421991084695394,0.7443778110944528,0.993993993993994,0.01729106628242075,0.8512644663523361,6,341,6,993
0.42,0.7392273402674592,0.7436090225563909,0.98998998998999,0.01729106628242075,0.8492915414340919,6,341,10,989
0.43,0.736998514115899,0.7433962264150943,0.985985985985986,0.020172910662824207,0.8476764199655766,7,340,14,985
0.44,0.7355126300148589,0.7437452615617892,0.9819819819819819,0.025936599423631124,0.8464193270060397,9,338,18,981
0.45,0.7377414561664191,0.7454407294832827,0.9819819819819819,0.0345821325648415,0.8475161987041037,12,335,18,981
0.46,0.7377414561664191,0.7469418960244648,0.977977977977978,0.04610951008645533,0.846987429562202,16,331,22,977
0.47000000000000003,0.7399702823179792,0.7513555383423702,0.970970970970971,0.07492795389048991,0.8471615720524017,26,321,29,970
0.48,0.7347696879643388,0.7511737089201878,0.960960960960961,0.08357348703170028,0.8432147562582345,29,318,39,960
0.49,0.7310549777117384,0.7533810660302307,0.9479479479479479,0.10662824207492795,0.8395390070921985,37,310,52,947
0.5,0.7273402674591382,0.7569105691056911,0.9319319319319319,0.138328530259366,0.835352175863616,48,299,68,931
0.51,0.725111441307578,0.7631799163179916,0.9129129129129129,0.1844380403458213,0.8313582497721057,64,283,87,912
0.52,0.7280832095096582,0.7712082262210797,0.9009009009009009,0.23054755043227665,0.8310249307479224,80,267,99,900
0.53,0.7288261515601783,0.7825311942959001,0.8788788788788788,0.2968299711815562,0.8279113625648279,103,244,121,878
0.54,0.7139673105497771,0.7858472998137802,0.8448448448448449,0.3371757925072046,0.814278822961891,117,230,155,844
0.55,0.6924219910846954,0.7864838393731636,0.8038038038038038,0.37175792507204614,0.7950495049504951,129,218,196,803
0.56,0.6797919762258544,0.7952182952182952,0.7657657657657657,0.4322766570605187,0.7802141764405915,150,197,234,765
0.5700000000000001,0.6560178306092125,0.8038548752834467,0.7097097097097097,0.5014409221902018,0.7538543328017012,174,173,290,709
0.58,0.6411589895988113,0.816953316953317,0.6656656656656657,0.5706051873198847,0.7335907335907336,198,149,334,665
0.59,0.612184249628529,0.82537517053206,0.6056056056056056,0.6311239193083573,0.6986143187066974,219,128,394,605
0.6,0.5973254086181278,0.8520801232665639,0.5535535535535535,0.723342939481268,0.6711165048543689,251,96,446,553
0.61,0.5527488855869243,0.8513274336283185,0.48148148148148145,0.7579250720461095,0.6150895140664961,263,84,518,481
0.62,0.5267459138187222,0.8605577689243028,0.43243243243243246,0.7982708933717579,0.5756162558294471,277,70,567,432
0.63,0.4985141158989599,0.8681818181818182,0.38238238238238237,0.8328530259365994,0.5309242529534399,289,58,617,382
0.64,0.4561664190193165,0.8657534246575342,0.3163163163163163,0.8587896253602305,0.4633431085043988,298,49,683,316
0.65,0.42867756315007427,0.8782894736842105,0.2672672672672673,0.8933717579250721,0.409823484267076,310,37,732,267
0.66,0.40564635958395245,0.8841698841698842,0.22922922922922923,0.9135446685878963,0.3640699523052464,317,30,770,229
0.67,0.38410104011887075,0.8863636363636364,0.19519519519519518,0.9279538904899135,0.3199343724364233,322,25,804,195
0.68,0.3551263001485884,0.8875739644970414,0.15015015015015015,0.9452449567723343,0.2568493150684932,328,19,849,150
0.6900000000000001,0.3298662704309064,0.8943089430894309,0.11011011011011011,0.962536023054755,0.19607843137254902,334,13,889,110
0.7000000000000001,0.3150074294205052,0.8888888888888888,0.08808808808808809,0.968299711815562,0.16029143897996356,336,11,911,88
0.71,0.30089153046062406,0.8625,0.06906906906906907,0.968299711815562,0.1278962001853568,336,11,930,69
0.72,0.2912332838038633,0.8947368421052632,0.05105105105105105,0.9827089337175793,0.09659090909090909,341,6,948,51
