threshold,accuracy,precision,sensitivity,specificity,f1,balanced_accuracy,tn,fp,fn,tp
0.1,0.9020522388059702,0.9137055837563451,0.9511228533685601,0.7841269841269841,0.9320388349514563,0.867624918747772,247,68,37,720
0.11,0.9020522388059702,0.9137055837563451,0.9511228533685601,0.7841269841269841,0.9320388349514563,0.867624918747772,247,68,37,720
0.12,0.9001865671641791,0.9145408163265306,0.9471598414795245,0.7873015873015873,0.9305645684620376,0.8672307143905559,248,67,40,717
0.13,0.8992537313432836,0.9144316730523627,0.9458388375165125,0.7873015873015873,0.9298701298701298,0.86657021240905,248,67,41,716
0.14,0.8992537313432836,0.9144316730523627,0.9458388375165125,0.7873015873015873,0.9298701298701298,0.86657021240905,248,67,41,716
0.15,0.8992537313432836,0.9144316730523627,0.9458388375165125,0.7873015873015873,0.9298701298701298,0.86657021240905,248,67,41,716
0.16,0.8992537313432836,0.9144316730523627,0.9458388375165125,0.7873015873015873,0.9298701298701298,0.86657021240905,248,67,41,716
0.17,0.8992537313432836,0.9144316730523627,0.9458388375165125,0.7873015873015873,0.9298701298701298,0.86657021240905,248,67,41,716
0.18,0.898320895522388,0.9143222506393862,0.9445178335535006,0.7873015873015873,0.9291747888239116,0.8659097104275439,248,67,42,715
0.19,0.8964552238805971,0.9141025641025641,0.9418758256274768,0.7873015873015873,0.9277813923227066,0.8645887064645321,248,67,44,713
0.2,0.894589552238806,0.9138817480719794,0.9392338177014531,0.7873015873015873,0.9263843648208469,0.8632677025015202,248,67,46,711
0.21,0.8936567164179104,0.9137709137709138,0.9379128137384413,0.7873015873015873,0.9256844850065189,0.8626072005200143,248,67,47,710
0.22,0.8936567164179104,0.9137709137709138,0.9379128137384413,0.7873015873015873,0.9256844850065189,0.8626072005200143,248,67,47,710
0.23,0.8917910447761194,0.9135483870967742,0.9352708058124174,0.7873015873015873,0.9242819843342036,0.8612861965570023,248,67,49,708
0.24,0.8880597014925373,0.9130998702983139,0.9299867899603699,0.7873015873015873,0.9214659685863874,0.8586441886309786,248,67,53,704
0.25,0.8880597014925373,0.9130998702983139,0.9299867899603699,0.7873015873015873,0.9214659685863874,0.8586441886309786,248,67,53,704
0.26,0.8871268656716418,0.9140625,0.9273447820343461,0.7904761904761904,0.920655737704918,0.8589104862552683,249,66,55,702
0.27,0.8861940298507462,0.9139504563233377,0.9260237780713342,0.7904761904761904,0.9199475065616798,0.8582499842737623,249,66,56,701
0.28,0.8861940298507462,0.9139504563233377,0.9260237780713342,0.7904761904761904,0.9199475065616798,0.8582499842737623,249,66,56,701
0.29,0.8852611940298507,0.9138381201044387,0.9247027741083224,0.7904761904761904,0.9192383453709784,0.8575894822922564,249,66,57,700
0.3,0.8852611940298507,0.9138381201044387,0.9247027741083224,0.7904761904761904,0.9192383453709784,0.8575894822922564,249,66,57,700
0.31,0.8852611940298507,0.9138381201044387,0.9247027741083224,0.7904761904761904,0.9192383453709784,0.8575894822922564,249,66,57,700
0.32,0.8852611940298507,0.9138381201044387,0.9247027741083224,0.7904761904761904,0.9192383453709784,0.8575894822922564,249,66,57,700
0.33,0.8833955223880597,0.9136125654450262,0.9220607661822986,0.7904761904761904,0.9178172255095332,0.8562684783292445,249,66,59,698
0.34,0.8833955223880597,0.9146981627296588,0.9207397622192867,0.7936507936507936,0.9177090190915076,0.8571952779350401,250,65,60,697
0.35,0.8824626865671642,0.9145860709592641,0.9194187582562747,0.7936507936507936,0.9169960474308301,0.8565347759535342,250,65,61,696
0.36,0.8805970149253731,0.9143610013175231,0.916776750330251,0.7936507936507936,0.9155672823218998,0.8552137719905223,250,65,63,694
0.37,0.8805970149253731,0.9143610013175231,0.916776750330251,0.7936507936507936,0.9155672823218998,0.8552137719905223,250,65,63,694
0.38,0.8805970149253731,0.9154557463672391,0.9154557463672391,0.7968253968253968,0.9154557463672391,0.856140571596318,251,64,64,693
0.39,0.8796641791044776,0.9153439153439153,0.9141347424042272,0.7968253968253968,0.914738929279577,0.8554800696148119,251,64,65,692
0.4,0.8796641791044776,0.9153439153439153,0.9141347424042272,0.7968253968253968,0.914738929279577,0.8554800696148119,251,64,65,692
0.41,0.8796641791044776,0.916445623342175,0.9128137384412153,0.8,0.914626075446724,0.8564068692206077,252,63,66,691
0.42,0.8777985074626866,0.9162234042553191,0.9101717305151915,0.8,0.9131875414181577,0.8550858652575958,252,63,68,689
0.43,0.8768656716417911,0.9161118508655126,0.9088507265521797,0.8,0.9124668435013262,0.8544253632760899,252,63,69,688
0.44,0.8768656716417911,0.9161118508655126,0.9088507265521797,0.8,0.9124668435013262,0.8544253632760899,252,63,69,688
0.45,0.8759328358208955,0.916,0.9075297225891678,0.8,0.9117451891174518,0.8537648612945838,252,63,70,687
0.46,0.8759328358208955,0.916,0.9075297225891678,0.8,0.9117451891174518,0.8537648612945838,252,63,70,687
0.47,0.8759328358208955,0.9171122994652406,0.9062087186261559,0.8031746031746032,0.9116279069767442,0.8546916609003796,253,62,71,686
0.48,0.8768656716417911,0.9183400267737617,0.9062087186261559,0.8063492063492064,0.9122340425531915,0.8562789624876812,254,61,71,686
0.49,0.8759328358208955,0.9193548387096774,0.9035667107001321,0.8095238095238095,0.9113924050632911,0.8565452601119707,255,60,73,684
0.5,0.8759328358208955,0.9193548387096774,0.9035667107001321,0.8095238095238095,0.9113924050632911,0.8565452601119707,255,60,73,684
0.51,0.875,0.9192462987886945,0.9022457067371202,0.8095238095238095,0.9106666666666666,0.8558847581304649,255,60,74,683
0.52,0.8740671641791045,0.9191374663072777,0.9009247027741083,0.8095238095238095,0.9099399599733156,0.8552242561489589,255,60,75,682
0.53,0.8740671641791045,0.9191374663072777,0.9009247027741083,0.8095238095238095,0.9099399599733156,0.8552242561489589,255,60,75,682
0.54,0.8740671641791045,0.9191374663072777,0.9009247027741083,0.8095238095238095,0.9099399599733156,0.8552242561489589,255,60,75,682
0.55,0.8731343283582089,0.9190283400809717,0.8996036988110965,0.8095238095238095,0.9092122830440588,0.854563754167453,255,60,76,681
0.56,0.8731343283582089,0.9190283400809717,0.8996036988110965,0.8095238095238095,0.9092122830440588,0.854563754167453,255,60,76,681
0.57,0.8722014925373134,0.918918918918919,0.8982826948480845,0.8095238095238095,0.9084836339345357,0.8539032521859471,255,60,77,680
0.58,0.871268656716418,0.918809201623816,0.8969616908850726,0.8095238095238095,0.9077540106951871,0.8532427502044411,255,60,78,679
0.59,0.8703358208955224,0.9186991869918699,0.8956406869220608,0.8095238095238095,0.9070234113712374,0.8525822482229352,255,60,79,678
0.6,0.8675373134328358,0.9183673469387755,0.8916776750330251,0.8095238095238095,0.9048257372654156,0.8506007422784173,255,60,82,675
0.61,0.8666044776119403,0.9182561307901907,0.8903566710700133,0.8095238095238095,0.9040912139503688,0.8499402402969114,255,60,83,674
0.62,0.8647388059701493,0.9180327868852459,0.8877146631439894,0.8095238095238095,0.9026192075218268,0.8486192363338995,255,60,85,672
0.63,0.8647388059701493,0.9180327868852459,0.8877146631439894,0.8095238095238095,0.9026192075218268,0.8486192363338995,255,60,85,672
0.64,0.8638059701492538,0.9179206566347469,0.8863936591809776,0.8095238095238095,0.9018817204301075,0.8479587343523936,255,60,86,671
0.65,0.8638059701492538,0.9179206566347469,0.8863936591809776,0.8095238095238095,0.9018817204301075,0.8479587343523936,255,60,86,671
0.66,0.8619402985074627,0.9176954732510288,0.8837516512549538,0.8095238095238095,0.9004037685060565,0.8466377303893817,255,60,88,669
0.67,0.8600746268656716,0.9174690508940853,0.8811096433289299,0.8095238095238095,0.898921832884097,0.8453167264263697,255,60,90,667
0.68,0.8600746268656716,0.9174690508940853,0.8811096433289299,0.8095238095238095,0.898921832884097,0.8453167264263697,255,60,90,667
0.69,0.8591417910447762,0.9173553719008265,0.8797886393659181,0.8095238095238095,0.8981793661496965,0.8446562244448639,255,60,91,666
0.7,0.8582089552238806,0.9183955739972337,0.8771466314398944,0.8126984126984127,0.8972972972972973,0.8449225220691535,256,59,93,664
0.71,0.8582089552238806,0.9183955739972337,0.8771466314398944,0.8126984126984127,0.8972972972972973,0.8449225220691535,256,59,93,664
0.72,0.8572761194029851,0.9182825484764543,0.8758256274768824,0.8126984126984127,0.896551724137931,0.8442620200876476,256,59,94,663
0.73,0.8563432835820896,0.9181692094313454,0.8745046235138706,0.8126984126984127,0.8958051420838972,0.8436015181061416,256,59,95,662
0.74,0.8563432835820896,0.9193324061196105,0.8731836195508587,0.8158730158730159,0.8956639566395664,0.8445283177119373,257,58,96,661
0.75,0.855410447761194,0.9192200557103064,0.8718626155878467,0.8158730158730159,0.8949152542372881,0.8438678157304313,257,58,97,660
0.76,0.8526119402985075,0.9188811188811189,0.8678996036988111,0.8158730158730159,0.8926630434782609,0.8418863097859135,257,58,100,657
0.77,0.8507462686567164,0.9186535764375876,0.8652575957727873,0.8158730158730159,0.891156462585034,0.8405653058229016,257,58,102,655
0.78,0.8507462686567164,0.919831223628692,0.8639365918097754,0.819047619047619,0.8910081743869209,0.8414921054286972,258,57,103,654
0.79,0.8488805970149254,0.919605077574048,0.8612945838837517,0.819047619047619,0.8894952251023193,0.8401711014656854,258,57,105,652
0.8,0.8479477611940298,0.9194915254237288,0.8599735799207398,0.819047619047619,0.8887372013651877,0.8395105994841794,258,57,106,651
0.81,0.8470149253731343,0.9193776520509194,0.8586525759577279,0.819047619047619,0.8879781420765027,0.8388500975026735,258,57,107,650
0.82,0.8451492537313433,0.9191489361702128,0.8560105680317041,0.819047619047619,0.8864569083447332,0.8375290935396615,258,57,109,648
0.83,0.8442164179104478,0.9190340909090909,0.8546895640686922,0.819047619047619,0.8856947296372347,0.8368685915581556,258,57,110,647
0.84,0.8423507462686567,0.92,0.8507265521796565,0.8222222222222222,0.8840082361015786,0.8364743872009394,259,56,113,644
0.85,0.8414179104477612,0.9198855507868383,0.8494055482166446,0.8222222222222222,0.8832417582417582,0.8358138852194335,259,56,114,643
0.86,0.8404850746268657,0.9197707736389685,0.8480845442536328,0.8222222222222222,0.8824742268041237,0.8351533832379274,259,56,115,642
0.87,0.8395522388059702,0.9196556671449068,0.8467635402906208,0.8222222222222222,0.8817056396148556,0.8344928812564215,259,56,116,641
0.88,0.8348880597014925,0.9190751445086706,0.8401585204755614,0.8222222222222222,0.8778467908902692,0.8311903713488917,259,56,121,636
0.89,0.8339552238805971,0.918958031837916,0.8388375165125496,0.8222222222222222,0.8770718232044199,0.8305298693673859,259,56,122,635
0.9,0.8311567164179104,0.9186046511627907,0.8348745046235139,0.8222222222222222,0.8747404844290657,0.8285483634228681,259,56,125,632
